Complete?,Title of Policy,Date Entered,Entered By,QC Checked By,QC Check Date,Description,Policy Type,Legal Status,Primary Lever,Primary Policy Category (Broad),Secondary Lever,Secondary Category (If Necessary),Primary Subcategory,Secondary Subcategory (if necessary),Methodology,Second Methodology (if necessary),Participation,Jurisdiction,Location,Country,lat,lon,Implementing Agency,Status,Date Enacted,low,Covered Sector(s),Covered Material(s),Covered Life-Cycle Stages,Application Type,Scale of Approach,Covered Applications,Covered Impacts,Target,Target Date,Additional Targets,Compliance Mechanism,Threshold Varies?,Compliance Threshold Quantity/Range,Compliance Threshold Unit,Threshold Methodology ,Disclosure Type,Required Disclosure Standard,Required PCR,Disclosure Specificity,Disclosure Material Quantities,Disclosure Data Repository,Link(s),Archived Version,Source(s),Notes,Other
FALSE,Greening Government Strategy,11/26/23,"Irish, Hannah","Hayes, Jackson",3/6/2024,The government must reduce embodied carbon of the structural materials of major construction projects by 30% starting 2025,Plan,Non-Statutory,Plan,Climate Commitment,Climate Action Plan,,Resolution/Declaration of Intent,,Plan,,NA,National,Canada,Canada,58.609842,-106.722656,Canadian Federal Government,NA,2020,NA,NA,NA,NA,Major construction projects,Product Level,Major construction projects,NA,Reduction of embodied carbon of structural materials of major construction projects by 30%,2025,NA 2025,Disclosure of embodied carbon of products through life-cycle analysis of major building projects,NA,NA,NA,Life-cycle analysis,NA,NA,NA,NA,NA,NA,https://www.canada.ca/en/treasury-board-secretariat/services/innovation/greening-government/strategy.html#toc3-5,https://ucsb.box.com/s/xi5unm3u68uiezydtnb5rljlyhhdjgoq,,,
FALSE,Clean Growth Strategy ,11/26/23,"Irish, Hannah","Hayes, Jackson",5/9/2024,UK plan for climate action notes need for energy-use reduction of building materials,Plan,Non-Statutory,Plan,Climate Commitment,Climate Action Plan,,Resolution/Declaration of Intent,,Plan,,NA,National,United Kingdom,United Kingdom,53.805437,-2.276506,UK Government,Active,2017,NA,NA,NA,NA,Buildings,Project Level,Buildings,Energy Efficiency,80% emissions reduction below 1990 levels,2050,"25% by 2008-2012, 31% by 2013-2017, 37% by 2018-202, 51% by 2023-2027, 57% by 2028-2032",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://assets.publishing.service.gov.uk/media/5ad5f11ded915d32a3a70c03/clean-growth-strategy-correction-april-2018.pdf,https://ucsb.box.com/s/qhb0jbb4yk1i6ijiszbp33czvz8y7den,,,
FALSE,Rijkswaterstaat SPP,3/5/2024,"Irish, Hannah","Hayes, Jackson",5/9/2024,"The Rikjswaterstaat (RWS) is part of the Dutch Ministry of Infrastructure and Water Management and responsible for the design, construction, management and maintenance of the main infrastructure facilities in the Netherlands. RWS states that suppliers that can prove using the SPP tool that their products offer substantial CO2 savings potentials will be prioritized in procurement",Voluntary Program,Non-Statutory,Market-Based,Clean Procurement,Procurement Policy,,Owner Procurement Guidelines,,Whole-Building Carbon Reduction,,Voluntary,National,The Netherlands,The Netherlands,52.209528,5.465379,Dutch Ministry of Infrastructure and Water Management,Active,2010,2010,NA,NA,NA,Public Projects,Product Level,National Infrastructure facilities,"GHG Emissions, Energy Efficiency",Full circular procurement ,2050,NA,National Sustainable Public Procurement rating system,NA,NA,NA,NA,Criteria Tool Output,NA,NA,Product,NA,NA,https://procuraplus.org/public-authorities/rijkswaterstaat/,,,,
FALSE,Finland Mandatory Green Public Procurement of Low-Carbon Buildings,12/7/2023,"Irish, Hannah","Hayes, Jackson",5/9/2024,Finland mandtory green public procurement criteria are planned to be in effect in 2025 using Finland's Method for Whole Life Carbon Assessment of Buildings. Also currently has voluntary limits published,Law ,Statutory,Market-Based,Building Codes/Planning,Procurement Policy,,Building Code Requirements,,Whole-Building Carbon Reduction,,Both Mandatory and Voluntary Aspects,National,Finland,Finland,63.148252,26.381257,"Ministry of Finance, Ministry of Environment",Planned,2016,2025,NA,NA,"A1, A2, A3, A4, A5, C1, C2, C3, C4",Buildings,Project Level,"New buildings, extensive repairs","GHG emissions, energy efficiency",Carbon Neutrality,2035,Stricter limits for public procurement,LCA,NA,NA,NA,NA,LCA,"ISO 14040, EN ISO 14044, ISO 14067",NA,Project,NA,Database planned,https://acris.aalto.fi/ws/portalfiles/portal/53964010/30_1541_1_PB.pdf,https://ucsb.box.com/s/e4yl4faezi7i4vw167h2cop36sikom0e,,,
FALSE,Climate Declaration for New Buildings,11/27/23,"Irish, Hannah","Hayes, Jackson",5/5/2024,"All buildings over 100,000 square meters must submit a climate declaration starting in January 2022 in order to receive their building permit. Developers must submit data for modules A1-A5 in the climate declaration that is registered at Boverket in their database, The building's envelope, load-bering structures, and interior walls must be included in the declaration",Law ,Statutory,Regulatory ,Building Codes/Planning,Building Standard,,Building Code Requirements,,Reporting/Analysis Requirement,,Mandatory,National,Sweden,Sweden,62.09474,15.357258,"Sweden National Board of Housing, Building and Planning",Active,2019,2022,NA,"Load-bearing structures, interior walls, building envelope","A1, A2, A3, A4, A5",Buildings,Project Level,All new buildings,GHG Emissions,Climate Neutrality,2045,NA,EPD,NA,NA,NA,NA,EPD,"ISO 14040, ISO 14044, ISO 14025",NA,NA,NA,KTH National Repository,https://nordicsustainableconstruction.com/Media/637985265628454917/NCFC_2022_Limit%20values%20Sweden_Kristina%20Einarsson.pdf https://www.boverket.se/en/start/building-in-sweden/developer/rfq-documentation/climate-declaration/,https://ucsb.box.com/s/m5xgobjl77rvej5kb3t56u824cj7nx2khttps://ucsb.box.com/s/z1n7fbnw2jzy7glpzff8vfhd8c1kjmac ,,,
FALSE,RE2020,11/26/23,"Irish, Hannah","Hayes, Jackson",5/5/2024,Requirements for all new buildings in France to have a primary  total energy use limit ,Law ,Statutory,Regulatory ,Building Codes/Planning,Building Standard,,Building Code Requirements,,Whole-Building Carbon Reduction,,Mandatory,National,France,France,47.062012,2.327431,French Ministry of Ecological Transition,Active,2020,2022,NA,NA,NA,All new buildings,Project Level,Buildings,Energy Use,Net Zero,2050,NA,NA,"Yes, See Supporting Documents","640, 740",CO2eq/m2,NA,NA,NA,NA,Project,NA,NA,https://www.interregeurope.eu/good-practices/environmental-regulation-2020-re2020 https://www.greendesignconsulting.com/single-post/re2020-new-buildings-regulation-for-french-carbon-neutrality-by-2050,https://www.greendesignconsulting.com/single-post/re2020-new-buildings-regulation-for-french-carbon-neutrality-by-2050,,,
TRUE,Royal Decree on Environmental Messages,11/26/23,"Irish, Hannah","Hayes, Jackson",3/5/2024,Royal decree in Belgium setting the minimum requirements for environmental displays on construction products and for the registration of environmental product declarations in the federal database,Executive Order ,Statutory,Regulatory ,Climate Commitment,Resolution,,Resolution/Declaration of Intent,,Reporting/Analysis Requirement,,Both Mandatory and Voluntary Aspects,National,Belgium,Belgium,50.66496,4.597948,Belgium Federal Government,Active,2014,2015,NA,All construction products,"A1, A2, A3, A4, C2, C3",All products on the market in Belgium,Product Level,All,"Climate Change, Etc.",NA,NA,NA,EPD,NA,NA,NA,NA,EPD,"ISO 14044, ISO 14021",NA,NA,NA,Belgium Federal Database,http://www.ejustice.just.fgov.be/cgi_loi/loi_a1.pl?sql=(text%20contains%20(%27%27))&language=fr&rech=1&tri=dd%20AS%20RANK&value=&table_name=loi&F=&cn=2014052234&caller=image_a1&fromtab=loi&la=F#LNK0005,https://ucsb.box.com/s/x31dkirr1ynzica1rv7nzjivvf26ohto,,Note that this is from a translated source,
FALSE,Green Tenders: An Action Plan on Green Public Procurement,12/11/2023,"Irish, Hannah","Hayes, Jackson",5/5/2024,"The current action plan for green public procurement (GPP) recognizes the need for GPP in line with EU goals for 50% public procurement as green, and construction is recognized as a necessary avenue for public procurement, with wood specifically mentioned. This will be replaced by the Green Public Procurement Strategy 2023-2027 once it is passed",Plan,Non-Statutory,Plan,Climate Commitment,Climate Action Plan,,Climate Action Plan,,Plan,,Mandatory,National,Ireland,Ireland,52.971873,-7.965065,"Ireland Department of the Environment, Climate and Communications",Active,2021,2021,321,Wood,NA,NA,Product,Buildings,NA,50% procurement as GPP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://assets.gov.ie/124710/90335b18-8d7d-4217-b2a9-dfc5ce01cd57.pdf,https://ucsb.box.com/s/9xw2uvrc36z95fh726e3jmgqmei2frze,,,
FALSE,Whole-of-Life Embodied Carbon Emissions Reduction Framework,12/11/2023,"Irish, Hannah","Hayes, Jackson",5/5/2024,"New Zealand framework for reduction of embodied carbon in buildings has the following steps which shall be forthcoming as developed by the Ministry of Business: 1. New public sector buildings will report Whole Life Embodied Carbon, 2. All new buildings will report Whole Life Embodied Carbon, 3. All new buildings will have to meet initial carbon caps. 4. All new buildings will have to meet intermediate carbon caps, 5. All new buildings will have to meet carbon caps to achieve net zero emissions for new zealand",Plan,Non-Statutory,Plan,Climate Commitment,Climate Action Plan,,Climate Action Plan,,Reporting/Analysis Requirement,Whole-Building Carbon Reduction,Mandatory,National,New Zealand,New Zealand,-44.318848,170.521487,"New Zealand Ministry of Business, Innovation, and Employment",Active,2020,2020,NA,NA,"A1, A2, A3, A4, A5",Buildings,Project,"New Building, public sector first",GWP,Institute embodied carbon cap for buildings,Net Zero Carbon Emissions,2050,LCA,NA,NA,NA,NA,Project,"EN 15804, EN 15978, ISO 21930",NA,Project,NA,NA,https://www.mbie.govt.nz/dmsdocument/11794-whole-of-life-embodied-carbon-emissions-reduction-framework,https://ucsb.box.com/s/oz4g825t2jttkjxl7kpn9beshqahqujs,,,
TRUE,Buy Clean California Act,11/9/2023,"Irish, Hannah","Hayes, Jackson",12/1/23,"Procurement policy requiring materials (Structural Steel and concrete reinforcing steel, flat glass, mineral wood board insulation) to meet maximum GWP limits as certified by an EPD to be eligible for inclusion in a state public construction project",Law ,Statutory,Market-Based,Clean Procurement,Procurement Policy,,Buy Clean,,Product/Material-Specific Carbon Limits or Reductions,,Mandatory,State,"CA, USA",United States,37.22544,-119.855923,California Department of General Services; California Air Resources Board,Active,2017,2022,"331221, 3311, 327211, 321","Hot-Rolled Structural Steel, Hollow structural sections, steel plate, concrete reinforcing steel, flat glass, light-density mineral wood board insulation, heavy-density mineral wood board insulation","A1, A2, A3",Public Projects,Product-level,All public works projects,GHG Emissions,NA,NA,"2025 and every 3 years, new maximum acceptable GWP",EPD Type III,"Yes, See Supporting Documents","1010, 1710, 1490, 890, 1430, 3.33, 8.16","kg CO2eq, CO2eq, CO2eq, CO2eq, CO2eq, 1 m2of insulation at RSI=1, 1 m2of insulation at RSI=1 ",Industry average,EPD,ISO 14025:2006,"Part B: Product Category Rule (PCR) Guidance for Building-Related Products and Services Part B: Designated Steel Construction Product EPD Requirements, UL; NGA PCR for Flat Glass: UN CPC 3711, NSF International; Part B: Building Envelope Thermal Insulation EPD Requirements, UL Environment",Product,NA,NA,https://leginfo.legislature.ca.gov/faces/codes_displayText.xhtml?division=2.&chapter=3.&part=1.&lawCode=PCC&article=5.,https://ucsb.box.com/s/vplyasqh05swvylsy4naeyp6epsx44wv,,,
TRUE,NYS Buy Clean Concrete,11/16/2023,"Irish, Hannah","Hayes, Jackson",12/17/23,"The NYS Buy Clean Concrete guidelines implements S542A, signed into law as State Finance Law 135-d December 2021, effective June 2022. The law calls for the Office of General Services (OGS) to establish guidelines requiring the procurement of low embodied carbon concrete on projects deemed appropriate by the office. The Law is intended to increase the: use and innovation of low carbon concrete in state procurement projects. The guidelines below were developed with input from a diverse group of stakeholders in concrete and government procurement in the state of New York during Q1 - Q3 2023",Law ,Statutory,Market-Based,Clean Procurement,Procurement Policy,,Buy Clean,,Product/Material-Specific Carbon Limits or Reductions,,Both Mandatory and Voluntary Aspects,State,"NY, USA",United States,43.014276,-74.870106,New York Office of General Services,Active,2021,2022,3273,Concrete mixes,NA,State agency contracts exceeding $1 million that involve the use of at least 50 cubic yards of concrete,Product-level,"Building, transportation",GHG Emissions,NA,NA,2027 and subsequent years,EPD,"Yes, See Supporting Documents",275-541,kgCO2eq/y^3,150% of the Eastern Region average GWP figures from the National Ready Mix Concrete Associations’ “A Cradle-to-Gate Life Cycle Assessment of Ready-Mixed Concrete Manufactured by NRMCA Members,EPD,NA,NA,Product,50 cubic yards of concrete,NA,https://ogs.ny.gov/nys-buy-clean-concrete-guidelines-0,https://ucsb.box.com/s/tc6v8w70gkjh7zhwoq3cjk8pvp0w49z2,,,
FALSE,Washington HB 1080,12/19/2023,"Hayes, Jackson",,,The 2021-23 Biennium Budgets fund the creation of a database to track materials purchased for state-funded infrastructure projects and two large Buy Clean and Buy Fair pilot projects.,Law ,Statutory,Plan,Training & Education,Climate Action Plan,,Research Funding,,Research,,NA,State,"Washington, USA",United States,47.081806,-120.512191,State of Washington,Active,2019,2021,NA,NA,NA,Public Infrastructure,Project,Public Infrastructure Projects,GHG Emissions,"Develop Pilot Study for Buy Clean, Quantify embodied carbon",2023,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,https://lawfilesext.leg.wa.gov/biennium/2021-22/Pdf/Amendments/Senate/1080-S%20AMS%20FROC%20S3081.3.pdf,https://app.box.com/file/1393370121454,,See Sec. 7020,
FALSE,No. 594: Leading By Example: Decarbonizing and Minimizing Environmental Impacts of State Government,11/5/2023,"Hayes, Jackson","Irish, Hannah",11/21/2023,"This executive order from the MA governor sets carbon neutrality goals for the state as well as requires state agencies to assess and implement strategies to mitigate ghg and other environmental impacts when planning for and executing projects relating to the design, construction, operations, and maintenance of state facilities, and the procurement of goods and services. All state agency new construction after July 2021 must certify to LEED silver or higher",Executive Order ,Statutory,Regulatory ,Climate Commitment,Resolution,,Resolution/Declaration of Intent,,Reporting/Analysis Requirement,,Mandatory,State,"MA, USA",United States,42.366524,-71.914248,"Massachussetts Department of Energy Resources
Division of Capital Asset Management",Active,2021,2021,NA,NA,NA,State-Funded,Project Level,"Buildings, Transportation","Buildings, Transportation, Land use",Net Zero,2050,"2025, 2030, 2040, 2050",LEED,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://www.mass.gov/executive-orders/no-594-leading-by-example-decarbonizing-and-minimizing-environmental-impacts-of-state-government#:~:text=All%20agencies%20shall%20assess%20and,goods%20and%20services%2C%20including%20vehicles.",https://ucsb.box.com/s/vplyasqh05swvylsy4naeyp6epsx44wv https://ucsb.box.com/s/vplyasqh05swvylsy4naeyp6epsx44wv,,,
TRUE,Michigan Healthy Climate Plan,11/16/2023,"Hayes, Jackson","Irish, Hannah",11/21/2023,"The MI Healthy Climate Plan is a comprehensive strategy developed by the Michigan Department of Environment, Great Lakes, and Energy (EGLE) to achieve economy-wide carbon neutrality in Michigan by 2050, with aggressive interim targets. The plan addresses the impacts of climate change in Michigan and outlines actions to reduce greenhouse gas emissions, improve health outcomes, right environmental injustices, and create economic opportunities. The plan notes buy clean as a priority method for decreasing material carbon levels in buildings",Plan,Non-Statutory,Plan,Climate Commitment,Climate Action Plan,,Climate Action Plan,,Plan,,Both Mandatory and Voluntary Aspects,State,"MI, USA",United States,43.290332,-84.578704,"Michigan Department of Environment, Great Lakes, and Energy",Active,2022,NA,"3273, 3311","Cement, steel, iron",NA,NA,NA,NA,GHG Emissions,Carbon Neutrality,2050,2030,2021 IECC,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.michigan.gov/egle/-/media/Project/Websites/egle/Documents/Offices/OCE/MI-Healthy-Climate-Plan.pdf?rev=d13f4adc2b1d45909bd708cafccbfffa&hash=99437BF2709B9B3471D16FC1EC692588,https://ucsb.box.com/s/54cc9737ny6ah3qjjcj5btmxv08hhccx,,,
TRUE,New York State Executive Order 22,11/16/2023,"Irish, Hannah","Hayes, Jackson",12/17/23,"Executive Order 22 is a procurement policy that requires all asphalt mix, concrete mix, glass, and steel manufacturers to submit an EPD for eligibility for New York State contracts above $1 million and above a material disclosure quantity At this time maximum emissions limits have not been set. ",Executive Order ,Statutory,Market-Based,Clean Procurement,Procurement Policy,,Buy Clean,,Product/Material-Specific Carbon Limits or Reductions,,Mandatory,State,"NY, USA",United States,40.7128,-74.006,New York Governor's Office,Active,2022,2023,"3273, 3311, 331221, 327211, 32412","Concrete mixes, asphalt mixes, steel, glass","A1, A2, A3","New York state projects over $1 million, over a certain material disclosure limit",Product-level,"Building, infrastructure",GHG Emissions,NA,NA,NA,EPD Type III,NA,NA,NA,NA,EPD,ISO 14025:2006,NA,Product,"Concrete mixes: 50 cubic yards or more; Asphalt mixes: 16854 pounds (or 10 cubic yards) or more; Steel: 20000 pounds or more of rebar, 5000 pounds or more, other steel; Glass: 2000 square feet or more",NA,https://ogs.ny.gov/executive-order-22-embodied-carbon-guidance https://ogs.ny.gov/system/files/documents/2023/08/eo22-embodied-carbon-guidance_aug-2023.pdf ,https://ucsb.box.com/s/rhfdasklw5mw94jzerv3z9mg0ubzng1z  https://ucsb.box.com/s/rhfdasklw5mw94jzerv3z9mg0ubzng1z,,,
FALSE,State Of Wisconsin Clean Energy Plan,11/17/2023,"Hayes, Jackson",,,"The State of Wisconsin's Clean Energy Plan has a section dedicated to exploring low-carbon building materials procurement policies. This mostly consists of researching policies, conducting studies, developing a standardized method for evaluating and reporting embodied carbon emissions, and using EPDs.",Plan,Non-Statutory,Plan,Climate Commitment,Plan,,Climate Action Plan,,Reporting/Analysis Requirement,,Both Mandatory and Voluntary Aspects,State,"WI, USA",United States,44.428035,-90.129793,State of Wisconsin,Active,2022,NA,"263, 3273",NA,NA,"Public Projects, Private Projects",NA,NA,GHG Emissions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://osce.wi.gov/Documents/SOW-CleanEnergyPlan2022.pdf,https://app.box.com/file/1373128950151,,,
FALSE,Minnesota Buy Clean Study Bill,11/20/2023,"Hayes, Jackson",,,"Minnesota’s Buy Clean Buy Fair law kicks off a six-year working group called the Environmental Standards Procurement Task Force that will provide recommendations to the state for purchasing cleaner materials in public projects, as well as dates by which standards need to be developed for different building materials",Law ,Statutory,Market-Based,Clean Procurement,Climate Action Plan,Training & Education,Buy Clean,Research Funding,NA,,NA,State,"MN, USA",United States,45.901574,-94.569949,State of Minnesota,Active,2021,2023,NA,NA,NA,NA,NA,NA,NA,Carbon Neutrality,2050,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.revisor.mn.gov/bills/text.php?number=HF278&version=0&session=ls92&session_year=2021&session_number=0,https://app.box.com/file/1373121446127,,No mention of Buy Clean,
FALSE,Quebec Wood Charter,12/3/2023,"Hayes, Jackson",,,"The Quebec Wood Charter is a policy that encourages the use of wood for all publicly-funded infrastructure projects. As a result of this policy, the provincial building code was updated to increase the maximum height for wood structures from four stories to six stories and taller. It also requires developers of government-funded projects to consider wood as a material option by requiring a comparative analysis of GHG emissions for structural materials.",Law ,Statutory,Regulatory,Building Codes/Planning,Building Standard,,Zoning Incentives,,Green Building Design,,Voluntary,State,"Quebec, Canada",Canada,52.402984,-71.335273,"Ministry of Forestry, Wildlife, and Parks",Active,2019,2019,32121,Wood,"A1, A2, A3",Buildings,Project Level,Buildings over 4 stories high,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://mffp.gouv.qc.ca/wp-content/uploads/BilanCharteduBois_anglais.pdf,,,,
FALSE,Executive Order (EO) 20-01 State Efficiency and Environmental Performance,12/10/2023,"Hayes, Jackson",,,"Washington State's Executive Order (EO) 20-01 has a section that requires new facility construction be zero-energy or zero-energy-capable, which includes the consideration of ""net-embodied carbon.""",Executive Order ,Statutory,Plan,Climate Commitment,Resolution,,Resolution/Declaration of Intent,,Green Building Design,,Mandatory,State,"Washington, USA",United States,47.503571,-120.772659,Office of Jay Inslee,Active,2020,2020,NA,NA,NA,Buildings,Project Level,New Public Buildings,GHG Emissions,Net-Zero,NA,Net Zero embodied must be considered in new projects,NA,NA,NA,NA,NA,NA,NA,NA,Project,NA,NA,https://governor.wa.gov/sites/default/files/exe_order/20-01%20SEEP%20Executive%20Order%20%28tmp%29.pdf,https://app.box.com/file/1385074989281,,,
TRUE,Oregon HB 4139,12/19/2023,"Hayes, Jackson","Irish, Hannah",03/20/24,"Requires Department of Transportation to establish by 2025 a program to reduce greenhouse gas emissions that assesses greenhouse gas emissions attributable to certain covered materials department uses in construction and maintenance activities for state's transportation system, conducts life cycle assessments for selected set of construction and maintenance activities and devises strategies for reducing greenhouse gas emissions",Law ,Statutory,Plan,Climate Commitment,Climate Action Plan,,Climate Action Plan,,NA,,Mandatory,State,"Oregon, USA",United States,44.043016,-120.649319,Oregon Department of Transportation,Active,2022,2025,"3312, 3273","Steel including rebar, reinforcing steel and structural steel, hot-rolled sections, hollow sections, plate steel and cold-formed steel; Concrete, including ready mix concrete, shotcrete, precast concrete and concrete masonry units; Asphalt paving mixtures","A1, A2, A3, A4, A5",Materials,"Project, Product",Transportation Projects,GHG Emissions,"Conduct LCA, Assess embodied co2",2025,NA,EPD,NA,NA,NA,NA,LCA; EPD,ISO 14025; ISO 14040,NA,NA,NA,NA,https://olis.oregonlegislature.gov/liz/2022R1/Downloads/MeasureDocument/HB4139/Enrolled,https://app.box.com/file/1393353357425,,,
FALSE,"Michigan Healthy Climate Plan; Buy Clean, Buy Michigan ",11/17/2023,"Hayes, Jackson",,,Subset of the MI Healthy Climate Plan focussed on procurement of low-carbon materials,Plan,Non-Statutory,Market-Based,Clean Procurement,Procurement Policy,,Buy Clean,,Product/Material-Specific Carbon Limits or Reductions,,Mandatory,State,"MI, USA",United States,43.290332,-84.578704,State of Michigan,Active,2022,2023,3273,Concrete,NA,Public Projects,Product-level,"Buildings, Infrastructure",GHG Emissions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.michigan.gov/egle/-/media/Project/Websites/egle/Documents/Offices/OCE/MI-Healthy-Climate-Plan.pdf?rev=d13f4adc2b1d45909bd708cafccbfffa&hash=99437BF2709B9B3471D16FC1EC692588,https://app.box.com/file/1373137782974,,,
FALSE,State Of Wisconsin Clean Energy Plan,11/17/2023,"Hayes, Jackson",,,Subset of State of WI clean energy plan dealing with procurement,Plan,Non-Statutory,Market-Based,Clean Procurement,Procurement Policy,,Buy Clean,,Product/Material-Specific Carbon Limits or Reductions,,Mandatory,State,"WI, USA",United States,44.428035,-90.129793,State of Wisconsin,Active,2022,NA,3273,Concrete,"A1, A2, A3, A4, A5",Public Projects,Project-level,"Buildings, Infrastructure",GHG Emissions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://osce.wi.gov/Documents/SOW-CleanEnergyPlan2022.pdf,https://app.box.com/file/1373131242934,,,
TRUE,"Washington HB 1103 Buy Clean, Buy Fair",1/30/2023,"Hayes, Jackson","Irish, Hannah",03/20/24,"Buy Clean is a procurement policy approach that addresses embodied carbon in state-funded construction projects by incorporating low-carbon construction requirements into state purchasing, including requirements for the disclosure of EPDs for products used on state projects",Law ,Statutory,Market-Based,Clean Procurement,Procurement Policy,,Buy Clean,,Product/Material-Specific Carbon Limits or Reductions,,Mandatory,State,"WA, USA",United States,47.503571,-120.772659,State of Washington,Active,2021,2022,"3273, 3311, 331221, 327211, 32412","structural concrete, reinforcing steel, structural
steel, and engineered wood products","A1, A2, A3",Public Projects,Product Level,"Construction projects larger than 50,000 square feet or building renovation projects where the cost is greater than 50 percent of the assessed value and the project is larger than 50,000 square feet.",GHG Emissions,NA,NA,NA,EPD,NA,NA,NA,NA,EPD,ISO 14025,NA,Product,NA,NA,"https://lawfilesext.leg.wa.gov/biennium/2021-22/Pdf/Bills/House%20Bills/1103.pdf?q=20240201162252
https://www.bluegreenalliance.org/wp-content/uploads/2022/01/Buy-Clean-Buy-Fair-WA-011822-vFINAL-1.pdf",https://app.box.com/file/1432691747863,,,
TRUE,Buy Clean Colorado Act,11/8/2023,"Irish, Hannah","Hayes, Jackson",12/1/23,Procurement policy requiring materials (Asphalt and asphalt mixtures; cement and concrete mixtures; glass; post-tension steel; reinforcing steel; structural steel; wood structural elements) to meet maximum GWP limits as certified by an EPD to be eligible for inclusion in a state public construction project,Law ,Statutory,Market-Based,Clean Procurement,Procurement Policy,,Buy Clean,,Product/Material-Specific Carbon Limits or Reductions,,Mandatory,State,"CO, USA",United States,38.852648,-105.550863,Office of the State Architect,Active,2021,2024,"3273, 32412, 3272, 3311","Ashphalt and asphalt mixtures, cement and concrete mixtures, glass, post-tension steel, structural steel, wood structural elements","A1, A2, A3",Public projects,Product-level,Buildings,GHG Emissions,NA,NA,2027 and every 4 years after,EPD Type III,NA,To be set 2024,NA,Industry Average,EPD,ISO 14025:2006,NA,Product,NA,NA,https://leg.colorado.gov/sites/default/files/2021a_1303_signed.pdf,https://ucsb.box.com/s/x01y7row6bwfmspm46o18mumyhqh12li,,,
FALSE,California AB 2446,12/19/2023,"Hayes, Jackson",,,"This law builds on the 2017 Buy Clean California Act, mandating the Air Resources Board to develop a framework by July 1, 2025, for measuring and reducing carbon intensity in building materials, targeting a 40% net reduction in GHG emissions by 2035. Key requirements of the law include life cycle assessments for new large buildings, Environmental Product Declarations from manufacturers, and the establishment of a technical advisory committee to support implementation, indicating a broader future strategy for low-carbon building standards in California.",Law ,Statutory,Regulatory,Building Codes/Planning,Building Standard,Training & Education,Building Code Requirements,Research Funding,Reporting/Analysis Requirement,,Mandatory,State,"CA, USA",United States,37.22544,-119.855923,California Air Resources Board,Planned,2023,2025,"331221, 3311, 327211, 321","Hot-Rolled Structural Steel, Hollow structural sections, steel plate, concrete reinforcing steel, flat glass, light-density mineral wood board insulation, heavy-density mineral wood board insulation","A1, A2, A3",Materials,"Project, Product",Buildings,GHG Emissions,40% reduction of GHG emissions,2035,20% reduction of GHG emissions by 2030,EPD type III,"Yes, See Supporting Documents",To be set 2027,NA,NA,EPD Type III,ISO 14025,NA,NA,NA,NA,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202120220AB2446,https://app.box.com/file/1393341522732,,,
FALSE,A.B.43: Greenhouse gas emissions: building materials: embodied carbon trading system.,3/8/2024,"Hayes, Jackson",,,AB 43 is a California legislative bill aimed at reducing greenhouse gas emissions associated with building materials. It amends existing laws to establish targets and frameworks for measuring and reducing the carbon intensity of materials used in construction projects. The bill also introduces the concept of an embodied carbon trading system to incentivize emissions reductions in the building sector.,Law ,Statutory,Regulatory,Building Codes/Planning,Building Standard,,Building Code Requirements,,Reporting/Analysis Requirement,,Mandatory,State,"CA, USA",United States,37.22544,-119.855923,California Air Resources Board,Planned,2026,2027,"331221, 3311, 327211, 321","Hot-Rolled Structural Steel, Hollow structural sections, steel plate, concrete reinforcing steel, flat glass, light-density mineral wood board insulation, heavy-density mineral wood board insulation","A1, A2, A3",Materials,Product,Buildings,GHG Emissions,"40% reduction of GHG emissions, Establishment of a embodied carbon trading system",2035,20% reduction of GHG emissions by 2030,EPD type III,"Yes, See Supporting Documents",To be set 2027,NA,NA,EPD Type III,ISO 14025,NA,NA,NA,NA,,,,,
